month,state,city,operator,wireless_subs,wireline_subs,market_share_perc,mom_growth_perc
2023-04,Delhi,Saket,Airtel,1489144,31593,29.25,3.84
2023-04,Delhi,Saket,Vi,888395,15370,17.45,-0.2
2023-04,Delhi,Saket,BSNL,659296,26447,12.95,1.78
2023-04,Delhi,Saket,MTNL,182770,6076,3.59,0.94
2023-04,Delhi,Pitampura,Jio,952905,24279,34.62,0.87
2023-04,Delhi,Pitampura,Airtel,826016,14547,30.01,3.2
2023-04,Delhi,Pitampura,Vi,478930,15752,17.4,-1.3
2023-04,Delhi,Pitampura,BSNL,366629,15302,13.32,-2.28
2023-04,Delhi,Pitampura,MTNL,127989,6310,4.65,3.12
2023-04,Delhi,Karol Bagh,Jio,1526188,42377,34.89,1.9
2023-04,Delhi,Karol Bagh,Airtel,1299600,48791,29.71,3.17
2023-04,Delhi,Karol Bagh,Vi,743191,8437,16.99,0.08
2023-04,Delhi,Karol Bagh,BSNL,524476,21707,11.99,2.8
2023-04,Delhi,Karol Bagh,MTNL,280391,13204,6.41,2.07
2023-04,Delhi,Shahdara,Jio,968186,40522,35.11,-0.24
2023-04,Delhi,Shahdara,Airtel,809349,27280,29.35,0.72
2023-04,Delhi,Shahdara,Vi,463273,22158,16.8,2.31
2023-04,Delhi,Shahdara,BSNL,370894,14547,13.45,-2.2
2023-04,Delhi,Shahdara,MTNL,145600,4657,5.28,0.54
2023-04,Delhi,Vasant Kunj,Jio,693528,25547,35.34,2.16
2023-04,Delhi,Vasant Kunj,Airtel,540457,8047,27.54,3.18
2023-04,Delhi,Vasant Kunj,Vi,356772,4418,18.18,-0.48
2023-04,Delhi,Vasant Kunj,BSNL,251978,12509,12.84,0.25
2023-04,Delhi,Vasant Kunj,MTNL,119512,1822,6.09,3.8
2023-04,Odisha,Bhubaneswar,Jio,346171,9956,34.59,3.28
2023-04,Odisha,Bhubaneswar,Airtel,296832,3593,29.66,3.28
2023-04,Odisha,Bhubaneswar,Vi,184844,3469,18.47,1.86
2023-04,Odisha,Bhubaneswar,BSNL,128801,4289,12.87,1.09
2023-04,Odisha,Bhubaneswar,MTNL,44234,1962,4.42,-1.84
2023-04,Odisha,Cuttack,Jio,357429,12127,35.99,1.62
2023-04,Odisha,Cuttack,Airtel,305488,3465,30.76,0.08
2023-04,Odisha,Cuttack,Vi,186510,6223,18.78,2.25
2023-04,Odisha,Cuttack,BSNL,104577,2368,10.53,0.65
2023-04,Odisha,Cuttack,MTNL,39030,1661,3.93,3.7
2023-04,Odisha,Rourkela,Jio,241548,7504,36.32,1.1
2023-04,Odisha,Rourkela,Airtel,204571,8434,30.76,-0.45
2023-04,Odisha,Rourkela,Vi,108603,3179,16.33,3.75
2023-04,Odisha,Rourkela,BSNL,68766,2536,10.34,-1.5
2023-04,Odisha,Rourkela,MTNL,41499,636,6.24,-1.17
2023-04,Odisha,Brahmapur,Jio,327739,6358,35.15,0.34
2023-04,Odisha,Brahmapur,Airtel,303217,14195,32.52,3.21
2023-04,Odisha,Brahmapur,Vi,160279,4532,17.19,0.12
2023-04,Odisha,Brahmapur,BSNL,100419,3233,10.77,-0.92
2023-04,Odisha,Brahmapur,MTNL,40745,492,4.37,3.6
2023-04,Odisha,Sambalpur,Jio,249752,8286,33.89,-0.8
2023-04,Odisha,Sambalpur,Airtel,228380,5108,30.99,3.26
2023-04,Odisha,Sambalpur,Vi,121743,2669,16.52,2.3
2023-04,Odisha,Sambalpur,BSNL,92044,4565,12.49,4.0
2023-04,Odisha,Sambalpur,MTNL,45027,1411,6.11,2.87
2023-04,Odisha,Puri,Jio,659365,22475,34.82,0.55
2023-04,Odisha,Puri,Airtel,556919,14656,29.41,0.73
2023-04,Odisha,Puri,Vi,340855,3959,18.0,3.25
2023-04,Odisha,Puri,BSNL,218904,10930,11.56,-1.32
2023-04,Odisha,Puri,MTNL,117595,1742,6.21,-1.57
2023-04,Odisha,Balasore,Jio,777424,28734,35.74,-1.72
2023-04,Odisha,Balasore,Airtel,663443,18684,30.5,0.7
2023-04,Odisha,Balasore,Vi,398500,10063,18.32,-1.35
2023-04,Odisha,Balasore,BSNL,244495,5919,11.24,-0.31
2023-04,Odisha,Balasore,MTNL,91359,2738,4.2,1.89
2023-04,Odisha,Bhadrak,Jio,552111,13504,34.77,0.16
2023-04,Odisha,Bhadrak,Airtel,455884,8238,28.71,-2.04
2023-04,Odisha,Bhadrak,Vi,283598,11602,17.86,-0.93
2023-04,Odisha,Bhadrak,BSNL,193881,6661,12.21,1.97
2023-04,Odisha,Bhadrak,MTNL,102578,2959,6.46,3.2
2023-04,Odisha,Baripada,Jio,474106,22303,33.15,2.79
2023-04,Odisha,Baripada,Airtel,428340,14829,29.95,-1.66
2023-04,Odisha,Baripada,Vi,255431,8912,17.86,-2.19
2023-04,Odisha,Baripada,BSNL,185924,8443,13.0,0.63
2023-04,Odisha,Baripada,MTNL,86383,3273,6.04,-2.16
2023-04,Odisha,Jharsuguda,Jio,635582,18825,34.11,-2.14
2023-04,Odisha,Jharsuguda,Airtel,559372,22666,30.02,-1.4
2023-04,Odisha,Jharsuguda,Vi,351797,12403,18.88,-1.99
2023-04,Odisha,Jharsuguda,BSNL,207761,9946,11.15,-0.6
2023-04,Odisha,Jharsuguda,MTNL,108818,2073,5.84,-1.66
2023-04,Assam,Guwahati,Jio,298272,14640,36.07,2.78
2023-04,Assam,Guwahati,Airtel,252791,6703,30.57,-1.52
2023-04,Assam,Guwahati,Vi,138427,5732,16.74,-1.76
2023-04,Assam,Guwahati,BSNL,101629,1785,12.29,-1.13
2023-04,Assam,Guwahati,MTNL,35805,1155,4.33,2.62
2023-04,Assam,Silchar,Jio,321285,9775,35.08,0.31
2023-04,Assam,Silchar,Airtel,272469,5113,29.75,2.18
2023-04,Assam,Silchar,Vi,175571,6189,19.17,-1.9
2023-04,Assam,Silchar,BSNL,108804,5115,11.88,1.13
2023-04,Assam,Silchar,MTNL,37733,754,4.12,-1.16
2023-04,Assam,Dibrugarh,Jio,333718,4416,36.05,1.87
2023-04,Assam,Dibrugarh,Airtel,283081,10233,30.58,-1.88
2023-04,Assam,Dibrugarh,Vi,151075,3437,16.32,3.9
2023-04,Assam,Dibrugarh,BSNL,118398,4396,12.79,2.25
2023-04,Assam,Dibrugarh,MTNL,39435,730,4.26,-1.99
2023-04,Assam,Jorhat,Jio,415762,7216,34.98,0.62
2023-04,Assam,Jorhat,Airtel,350391,3695,29.48,0.63
2023-04,Assam,Jorhat,Vi,214180,2620,18.02,3.81
2023-04,Assam,Jorhat,BSNL,136567,5684,11.49,0.69
2023-04,Assam,Jorhat,MTNL,71789,966,6.04,1.35
2023-04,Assam,Nagaon,Jio,701737,14405,35.27,-0.2
2023-04,Assam,Nagaon,Airtel,604047,8634,30.36,2.03
2023-04,Assam,Nagaon,Vi,376037,6879,18.9,3.47
2023-04,Assam,Nagaon,BSNL,223235,4158,11.22,-0.84
2023-04,Assam,Nagaon,MTNL,84757,1854,4.26,2.5
2023-04,Assam,Tinsukia,Jio,310402,14751,35.35,4.06
2023-04,Assam,Tinsukia,Airtel,268605,4031,30.59,1.49
2023-04,Assam,Tinsukia,Vi,157264,2827,17.91,-0.84
2023-04,Assam,Tinsukia,BSNL,90179,3591,10.27,3.85
2023-04,Assam,Tinsukia,MTNL,51631,1744,5.88,3.03
2023-04,Assam,Tezpur,Jio,70128,1519,35.79,-1.6
2023-04,Assam,Tezpur,Airtel,61526,2598,31.4,-2.44
2023-04,Assam,Tezpur,Vi,32722,736,16.7,-1.42
2023-04,Assam,Tezpur,BSNL,22984,771,11.73,-0.85
2023-04,Assam,Tezpur,MTNL,8582,174,4.38,0.67
2023-04,Assam,Bongaigaon,Jio,522157,6454,35.87,1.09
2023-04,Assam,Bongaigaon,Airtel,426373,6695,29.29,-1.28
2023-04,Assam,Bongaigaon,Vi,258240,11791,17.74,-2.5
2023-04,Assam,Bongaigaon,BSNL,189385,8081,13.01,0.86
2023-04,Assam,Bongaigaon,MTNL,59392,1922,4.08,1.87
2023-04,Assam,Dhubri,Jio,241015,11861,34.64,0.06
2023-04,Assam,Dhubri,Airtel,217358,2395,31.24,2.23
2023-04,Assam,Dhubri,Vi,118072,5105,16.97,-1.74
2023-04,Assam,Dhubri,BSNL,73751,1137,10.6,2.84
2023-04,Assam,Dhubri,MTNL,45503,2133,6.54,2.64
2023-04,Assam,Diphu,Jio,154450,4700,36.52,2.89
2023-04,Assam,Diphu,Airtel,125734,5044,29.73,3.44
2023-04,Assam,Diphu,Vi,72361,3134,17.11,-0.9
2023-04,Assam,Diphu,BSNL,48593,1129,11.49,0.75
2023-04,Assam,Diphu,MTNL,21822,230,5.16,3.38
2023-04,Jharkhand,Ranchi,Jio,177585,2249,35.7,0.95
2023-04,Jharkhand,Ranchi,Airtel,144555,3446,29.06,1.87
2023-04,Jharkhand,Ranchi,Vi,88344,4244,17.76,0.61
2023-04,Jharkhand,Ranchi,BSNL,63871,1829,12.84,1.75
2023-04,Jharkhand,Ranchi,MTNL,23130,327,4.65,-0.85
2023-04,Jharkhand,Jamshedpur,Jio,284270,10613,36.7,2.31
2023-04,Jharkhand,Jamshedpur,Airtel,231367,10600,29.87,2.44
2023-04,Jharkhand,Jamshedpur,Vi,130206,1553,16.81,-0.13
2023-04,Jharkhand,Jamshedpur,BSNL,94343,1973,12.18,0.01
2023-04,Jharkhand,Jamshedpur,MTNL,34391,564,4.44,-1.86
2023-04,Jharkhand,Dhanbad,Jio,394749,17465,36.22,-0.9
2023-04,Jharkhand,Dhanbad,Airtel,326632,14355,29.97,-1.6
2023-04,Jharkhand,Dhanbad,Vi,186803,6203,17.14,3.22
2023-04,Jharkhand,Dhanbad,BSNL,142554,4125,13.08,2.35
2023-04,Jharkhand,Dhanbad,MTNL,39235,1655,3.6,2.29
2023-04,Jharkhand,Bokaro,Jio,344691,9179,35.04,3.87
2023-04,Jharkhand,Bokaro,Airtel,288325,11359,29.31,-2.1
2023-04,Jharkhand,Bokaro,Vi,170968,6802,17.38,-2.39
2023-04,Jharkhand,Bokaro,BSNL,126013,4538,12.81,-1.13
2023-04,Jharkhand,Bokaro,MTNL,53808,2037,5.47,-0.49
2023-04,Jharkhand,Deoghar,Jio,361314,4964,36.22,-1.03
2023-04,Jharkhand,Deoghar,Airtel,298169,5828,29.89,3.46
2023-04,Jharkhand,Deoghar,Vi,186542,2448,18.7,0.23
2023-04,Jharkhand,Deoghar,BSNL,108135,3384,10.84,3.34
2023-04,Jharkhand,Deoghar,MTNL,43393,2165,4.35,2.4
2023-04,Jharkhand,Phusro,Jio,996375,23941,36.47,-0.62
2023-04,Jharkhand,Phusro,Airtel,831633,27523,30.44,3.57
2023-04,Jharkhand,Phusro,Vi,442317,5042,16.19,2.45
2023-04,Jharkhand,Phusro,BSNL,313911,12213,11.49,3.77
2023-04,Jharkhand,Phusro,MTNL,147803,6980,5.41,2.45
2023-04,Jharkhand,Hazaribagh,Jio,387622,9998,35.65,1.55
2023-04,Jharkhand,Hazaribagh,Airtel,313468,3638,28.83,2.45
2023-04,Jharkhand,Hazaribagh,Vi,194191,2715,17.86,0.03
2023-04,Jharkhand,Hazaribagh,BSNL,134172,1897,12.34,2.94
2023-04,Jharkhand,Hazaribagh,MTNL,57953,1855,5.33,1.99
2023-04,Jharkhand,Giridih,Jio,686705,12068,36.2,-0.05
2023-04,Jharkhand,Giridih,Airtel,571938,25440,30.15,0.26
2023-04,Jharkhand,Giridih,Vi,324193,15116,17.09,0.69
2023-04,Jharkhand,Giridih,BSNL,209615,5440,11.05,2.38
2023-04,Jharkhand,Giridih,MTNL,104713,1353,5.52,-1.92
2023-04,Jharkhand,Ramgarh,Jio,375020,15750,35.06,3.98
2023-04,Jharkhand,Ramgarh,Airtel,313087,14798,29.27,2.29
2023-04,Jharkhand,Ramgarh,Vi,175637,6631,16.42,-0.36
2023-04,Jharkhand,Ramgarh,BSNL,143975,2038,13.46,1.23
2023-04,Jharkhand,Ramgarh,MTNL,61826,2043,5.78,3.69
2023-04,Jharkhand,Medininagar,Jio,273477,8351,35.76,-1.33
2023-04,Jharkhand,Medininagar,Airtel,223539,6379,29.23,1.44
2023-04,Jharkhand,Medininagar,Vi,137274,4060,17.95,0.63
2023-04,Jharkhand,Medininagar,BSNL,92153,1207,12.05,-1.26
2023-04,Jharkhand,Medininagar,MTNL,38390,876,5.02,0.23
2023-04,Uttarakhand,Dehradun,Jio,196588,6895,36.51,-1.92
2023-04,Uttarakhand,Dehradun,Airtel,168750,2967,31.34,-0.3
2023-04,Uttarakhand,Dehradun,Vi,92344,1211,17.15,-1.3
2023-04,Uttarakhand,Dehradun,BSNL,58529,2718,10.87,-2.37
2023-04,Uttarakhand,Dehradun,MTNL,22237,803,4.13,-0.0
2023-04,Uttarakhand,Haridwar,Jio,488627,7753,35.13,3.07
2023-04,Uttarakhand,Haridwar,Airtel,405728,6430,29.17,3.29
2023-04,Uttarakhand,Haridwar,Vi,251893,7048,18.11,1.02
2023-04,Uttarakhand,Haridwar,BSNL,166909,7654,12.0,-0.55
2023-04,Uttarakhand,Haridwar,MTNL,77751,1342,5.59,0.4
2023-04,Uttarakhand,Roorkee,Jio,85759,3026,35.92,1.45
2023-04,Uttarakhand,Roorkee,Airtel,70288,1042,29.44,-0.38
2023-04,Uttarakhand,Roorkee,Vi,41375,1345,17.33,-1.33
2023-04,Uttarakhand,Roorkee,BSNL,31801,1336,13.32,3.82
2023-04,Uttarakhand,Roorkee,MTNL,9526,177,3.99,-1.29
2023-04,Uttarakhand,Haldwani,Jio,299451,9602,36.5,-0.34
2023-04,Uttarakhand,Haldwani,Airtel,243006,3658,29.62,0.65
2023-04,Uttarakhand,Haldwani,Vi,139798,4335,17.04,2.01
2023-04,Uttarakhand,Haldwani,BSNL,88276,4307,10.76,0.33
2023-04,Uttarakhand,Haldwani,MTNL,49963,1311,6.09,-0.1
2023-04,Uttarakhand,Rudrapur,Jio,241177,10293,35.14,-1.68
2023-04,Uttarakhand,Rudrapur,Airtel,214342,9254,31.23,1.42
2023-04,Uttarakhand,Rudrapur,Vi,117706,2057,17.15,0.97
2023-04,Uttarakhand,Rudrapur,BSNL,83664,1782,12.19,-0.4
2023-04,Uttarakhand,Rudrapur,MTNL,29512,710,4.3,-2.09
2023-04,Uttarakhand,Kashipur,Jio,605718,29786,35.54,-0.72
2023-04,Uttarakhand,Kashipur,Airtel,511128,14492,29.99,-1.09
2023-04,Uttarakhand,Kashipur,Vi,308142,9169,18.08,2.36
2023-04,Uttarakhand,Kashipur,BSNL,210484,6492,12.35,-0.64
2023-04,Uttarakhand,Kashipur,MTNL,69025,1376,4.05,2.43
2023-04,Uttarakhand,Rishikesh,Jio,233782,8932,35.4,1.09
2023-04,Uttarakhand,Rishikesh,Airtel,193035,5553,29.23,0.82
2023-04,Uttarakhand,Rishikesh,Vi,121844,4319,18.45,1.74
2023-04,Uttarakhand,Rishikesh,BSNL,81097,1748,12.28,-1.59
2023-04,Uttarakhand,Rishikesh,MTNL,30576,497,4.63,1.66
2023-04,Uttarakhand,Pithoragarh,Jio,569340,20901,33.84,1.93
2023-04,Uttarakhand,Pithoragarh,Airtel,514155,19541,30.56,1.88
2023-04,Uttarakhand,Pithoragarh,Vi,283997,7235,16.88,1.89
2023-04,Uttarakhand,Pithoragarh,BSNL,214848,9860,12.77,-0.34
2023-04,Uttarakhand,Pithoragarh,MTNL,100105,4784,5.95,-2.41
2023-04,Uttarakhand,Ramnagar,Jio,289919,13710,34.81,3.3
2023-04,Uttarakhand,Ramnagar,Airtel,256355,5838,30.78,1.31
2023-04,Uttarakhand,Ramnagar,Vi,134257,1757,16.12,-0.87
2023-04,Uttarakhand,Ramnagar,BSNL,102858,1416,12.35,-0.45
2023-04,Uttarakhand,Ramnagar,MTNL,49472,2226,5.94,-0.24
2023-04,Uttarakhand,Mussoorie,Jio,405831,6145,35.92,0.82
2023-04,Uttarakhand,Mussoorie,Airtel,327535,9314,28.99,2.1
2023-04,Uttarakhand,Mussoorie,Vi,211276,2870,18.7,1.64
2023-04,Uttarakhand,Mussoorie,BSNL,145294,5035,12.86,-0.98
2023-04,Uttarakhand,Mussoorie,MTNL,39882,1264,3.53,-1.06
2023-04,Himachal Pradesh,Shimla,Jio,98177,2569,37.3,2.16
2023-04,Himachal Pradesh,Shimla,Airtel,78068,901,29.66,3.72
2023-04,Himachal Pradesh,Shimla,Vi,45745,542,17.38,3.18
2023-04,Himachal Pradesh,Shimla,BSNL,29716,1360,11.29,0.91
2023-04,Himachal Pradesh,Shimla,MTNL,11502,178,4.37,1.17
2023-04,Himachal Pradesh,Dharamshala,Jio,390210,12046,34.71,1.11
2023-04,Himachal Pradesh,Dharamshala,Airtel,338609,10398,30.12,-2.44
2023-04,Himachal Pradesh,Dharamshala,Vi,210338,2117,18.71,-1.92
2023-04,Himachal Pradesh,Dharamshala,BSNL,129170,1816,11.49,2.08
2023-04,Himachal Pradesh,Dharamshala,MTNL,55872,1016,4.97,3.32
2023-04,Himachal Pradesh,Solan,Jio,485280,8907,35.21,3.76
2023-04,Himachal Pradesh,Solan,Airtel,395142,17896,28.67,-0.91
2023-04,Himachal Pradesh,Solan,Vi,253459,3503,18.39,0.31
2023-04,Himachal Pradesh,Solan,BSNL,177517,6578,12.88,-1.36
2023-04,Himachal Pradesh,Solan,MTNL,66844,2040,4.85,0.27
2023-04,Himachal Pradesh,Mandi,Jio,131788,2780,35.11,3.01
2023-04,Himachal Pradesh,Mandi,Airtel,116774,1613,31.11,-1.78
2023-04,Himachal Pradesh,Mandi,Vi,63098,2905,16.81,0.97
2023-04,Himachal Pradesh,Mandi,BSNL,41740,1617,11.12,-1.04
2023-04,Himachal Pradesh,Mandi,MTNL,21958,365,5.85,2.93
2023-04,Himachal Pradesh,Baddi,Jio,217239,8187,33.78,0.89
2023-04,Himachal Pradesh,Baddi,Airtel,190164,5996,29.57,2.33
2023-04,Himachal Pradesh,Baddi,Vi,117687,2341,18.3,-1.05
2023-04,Himachal Pradesh,Baddi,BSNL,82123,3941,12.77,-2.32
2023-04,Himachal Pradesh,Baddi,MTNL,35884,559,5.58,1.21
2023-04,Himachal Pradesh,Nahan,Jio,383409,4027,33.89,-0.99
2023-04,Himachal Pradesh,Nahan,Airtel,350374,4416,30.97,2.57
2023-04,Himachal Pradesh,Nahan,Vi,207260,8339,18.32,2.74
2023-04,Himachal Pradesh,Nahan,BSNL,125012,1272,11.05,0.76
2023-04,Himachal Pradesh,Nahan,MTNL,65391,2497,5.78,-1.49
2023-04,Himachal Pradesh,Palampur,Jio,212319,7530,34.61,3.36
2023-04,Himachal Pradesh,Palampur,Airtel,180357,6698,29.4,2.82
2023-04,Himachal Pradesh,Palampur,Vi,106190,3456,17.31,0.86
2023-04,Himachal Pradesh,Palampur,BSNL,78829,3071,12.85,-2.37
2023-04,Himachal Pradesh,Palampur,MTNL,35764,1345,5.83,3.57
2023-04,Himachal Pradesh,Sundarnagar,Jio,274901,13601,35.24,3.37
2023-04,Himachal Pradesh,Sundarnagar,Airtel,233790,6179,29.97,-0.08
2023-04,Himachal Pradesh,Sundarnagar,Vi,130195,2847,16.69,-1.56
2023-04,Himachal Pradesh,Sundarnagar,BSNL,98836,1534,12.67,-1.64
2023-04,Himachal Pradesh,Sundarnagar,MTNL,42358,616,5.43,-0.94
2023-04,Himachal Pradesh,Chamba,Jio,160427,2826,36.08,3.99
2023-04,Himachal Pradesh,Chamba,Airtel,132548,5607,29.81,2.11
2023-04,Himachal Pradesh,Chamba,Vi,71721,2659,16.13,1.27
2023-04,Himachal Pradesh,Chamba,BSNL,52467,2037,11.8,0.24
2023-04,Himachal Pradesh,Chamba,MTNL,27478,1203,6.18,2.03
2023-04,Himachal Pradesh,Una,Jio,123296,2854,35.11,3.3
2023-04,Himachal Pradesh,Una,Airtel,105281,4603,29.98,3.69
2023-04,Himachal Pradesh,Una,Vi,58189,2420,16.57,1.74
2023-04,Himachal Pradesh,Una,BSNL,41438,1834,11.8,-2.01
2023-04,Himachal Pradesh,Una,MTNL,22966,654,6.54,3.93
2023-04,Jammu & Kashmir,Srinagar,Jio,277390,11874,35.14,-0.22
2023-04,Jammu & Kashmir,Srinagar,Airtel,248419,3432,31.47,2.6
2023-04,Jammu & Kashmir,Srinagar,Vi,149430,4211,18.93,0.65
2023-04,Jammu & Kashmir,Srinagar,BSNL,82332,1437,10.43,1.8
2023-04,Jammu & Kashmir,Srinagar,MTNL,31812,1019,4.03,-1.16
2023-04,Jammu & Kashmir,Jammu,Jio,197058,2038,35.92,3.02
2023-04,Jammu & Kashmir,Jammu,Airtel,167927,2266,30.61,1.6
2023-04,Jammu & Kashmir,Jammu,Vi,97596,2943,17.79,0.87
2023-04,Jammu & Kashmir,Jammu,BSNL,62101,2923,11.32,-2.29
2023-04,Jammu & Kashmir,Jammu,MTNL,23919,979,4.36,-2.16
2023-04,Jammu & Kashmir,Anantnag,Jio,86688,1290,36.72,-1.89
2023-04,Jammu & Kashmir,Anantnag,Airtel,71933,2676,30.47,0.15
2023-04,Jammu & Kashmir,Anantnag,Vi,39614,1546,16.78,-1.83
2023-04,Jammu & Kashmir,Anantnag,BSNL,26464,910,11.21,0.38
2023-04,Jammu & Kashmir,Anantnag,MTNL,11402,140,4.83,1.04
2023-04,Jammu & Kashmir,Baramulla,Jio,76823,1073,35.92,0.07
2023-04,Jammu & Kashmir,Baramulla,Airtel,60889,2482,28.47,2.09
2023-04,Jammu & Kashmir,Baramulla,Vi,39566,459,18.5,1.0
2023-04,Jammu & Kashmir,Baramulla,BSNL,25044,338,11.71,3.97
2023-04,Jammu & Kashmir,Baramulla,MTNL,11549,530,5.4,-2.36
2023-04,Jammu & Kashmir,Sopore,Jio,159199,7236,34.78,-0.78
2023-04,Jammu & Kashmir,Sopore,Airtel,138235,6007,30.2,0.48
2023-04,Jammu & Kashmir,Sopore,Vi,79416,1663,17.35,3.86
2023-04,Jammu & Kashmir,Sopore,BSNL,53463,2298,11.68,3.96
2023-04,Jammu & Kashmir,Sopore,MTNL,27418,458,5.99,-1.57
2023-04,Jammu & Kashmir,Kathua,Jio,138397,4898,34.34,-2.12
2023-04,Jammu & Kashmir,Kathua,Airtel,125339,6266,31.1,-0.13
2023-04,Jammu & Kashmir,Kathua,Vi,71173,886,17.66,2.99
2023-04,Jammu & Kashmir,Kathua,BSNL,46710,2322,11.59,2.81
2023-04,Jammu & Kashmir,Kathua,MTNL,21400,943,5.31,1.57
2023-04,Jammu & Kashmir,Udhampur,Jio,231453,5929,33.99,1.01
2023-04,Jammu & Kashmir,Udhampur,Airtel,209458,9759,30.76,3.83
2023-04,Jammu & Kashmir,Udhampur,Vi,127881,2619,18.78,-1.17
2023-04,Jammu & Kashmir,Udhampur,BSNL,71295,942,10.47,1.15
2023-04,Jammu & Kashmir,Udhampur,MTNL,40924,431,6.01,0.18
2023-04,Jammu & Kashmir,Punch,Jio,104720,4173,34.25,-0.98
2023-04,Jammu & Kashmir,Punch,Airtel,95701,1232,31.3,2.15
2023-04,Jammu & Kashmir,Punch,Vi,51488,1319,16.84,2.43
2023-04,Jammu & Kashmir,Punch,BSNL,34978,972,11.44,-0.25
2023-04,Jammu & Kashmir,Punch,MTNL,18865,529,6.17,2.37
2023-04,Jammu & Kashmir,Rajouri,Jio,330776,16407,34.38,-0.3
2023-04,Jammu & Kashmir,Rajouri,Airtel,291810,12757,30.33,-1.33
2023-04,Jammu & Kashmir,Rajouri,Vi,179146,2242,18.62,-0.09
2023-04,Jammu & Kashmir,Rajouri,BSNL,126230,5599,13.12,-1.06
2023-04,Jammu & Kashmir,Rajouri,MTNL,34155,551,3.55,3.41
2023-04,Jammu & Kashmir,Leh,Jio,530832,12691,35.4,0.2
2023-04,Jammu & Kashmir,Leh,Airtel,459905,11236,30.67,2.87
2023-04,Jammu & Kashmir,Leh,Vi,274263,7702,18.29,0.85
2023-04,Jammu & Kashmir,Leh,BSNL,161199,7946,10.75,-2.11
2023-04,Jammu & Kashmir,Leh,MTNL,73176,2160,4.88,2.53
2023-04,Goa,Panaji,Jio,68494,1447,34.3,0.67
2023-04,Goa,Panaji,Airtel,60446,2651,30.27,-0.32
2023-04,Goa,Panaji,Vi,33867,1050,16.96,1.87
2023-04,Goa,Panaji,BSNL,26039,1046,13.04,-1.37
2023-04,Goa,Panaji,MTNL,10843,353,5.43,3.43
2023-04,Goa,Margao,Jio,191242,4985,36.68,0.58
2023-04,Goa,Margao,Airtel,157196,6907,30.15,2.43
2023-04,Goa,Margao,Vi,90407,3078,17.34,-0.29
2023-04,Goa,Margao,BSNL,62461,1091,11.98,-0.24
2023-04,Goa,Margao,MTNL,20020,744,3.84,-0.79
2023-04,Goa,Vasco da Gama,Jio,56065,1312,34.09,4.01
2023-04,Goa,Vasco da Gama,Airtel,51131,1578,31.09,-1.59
2023-04,Goa,Vasco da Gama,Vi,28797,541,17.51,0.58
2023-04,Goa,Vasco da Gama,BSNL,21067,246,12.81,0.51
2023-04,Goa,Vasco da Gama,MTNL,7384,197,4.49,2.57
2023-04,Goa,Mapusa,Jio,75088,3548,34.8,3.29
2023-04,Goa,Mapusa,Airtel,66544,2467,30.84,1.78
2023-04,Goa,Mapusa,Vi,35235,652,16.33,-1.79
2023-04,Goa,Mapusa,BSNL,27597,734,12.79,-1.29
2023-04,Goa,Mapusa,MTNL,11306,159,5.24,-0.53
2023-04,Goa,Ponda,Jio,91112,2784,33.9,2.21
2023-04,Goa,Ponda,Airtel,81087,2078,30.17,2.97
2023-04,Goa,Ponda,Vi,48969,1816,18.22,1.99
2023-04,Goa,Ponda,BSNL,33380,1049,12.42,3.25
2023-04,Goa,Ponda,MTNL,14190,284,5.28,-0.02
2023-04,Goa,Bicholim,Jio,95502,2198,35.2,-2.03
2023-04,Goa,Bicholim,Airtel,83185,3604,30.66,-2.21
2023-04,Goa,Bicholim,Vi,49732,1796,18.33,-0.51
2023-04,Goa,Bicholim,BSNL,29627,523,10.92,1.84
2023-04,Goa,Bicholim,MTNL,13294,438,4.9,-0.45
2023-04,Goa,Curchorem,Jio,98206,4000,34.67,2.53
2023-04,Goa,Curchorem,Airtel,84326,2927,29.77,2.62
2023-04,Goa,Curchorem,Vi,51468,1202,18.17,3.18
2023-04,Goa,Curchorem,BSNL,34784,1203,12.28,2.85
2023-04,Goa,Curchorem,MTNL,14446,460,5.1,-1.08
2023-04,Goa,Sanquelim,Jio,53749,1647,35.46,0.75
2023-04,Goa,Sanquelim,Airtel,48125,1334,31.75,-0.53
2023-04,Goa,Sanquelim,Vi,28102,1390,18.54,-0.78
2023-04,Goa,Sanquelim,BSNL,16097,476,10.62,0.13
2023-04,Goa,Sanquelim,MTNL,5502,92,3.63,-1.18
2023-04,Goa,Cuncolim,Jio,99270,4488,35.04,-2.07
2023-04,Goa,Cuncolim,Airtel,89836,2892,31.71,2.57
2023-04,Goa,Cuncolim,Vi,48133,706,16.99,0.08
2023-04,Goa,Cuncolim,BSNL,35299,412,12.46,1.94
2023-04,Goa,Cuncolim,MTNL,10793,240,3.81,1.14
2023-04,Goa,Canacona,Jio,173007,3050,34.16,2.85
2023-04,Goa,Canacona,Airtel,152850,5548,30.18,-1.25
2023-04,Goa,Canacona,Vi,93898,2075,18.54,-1.69
2023-04,Goa,Canacona,BSNL,56926,1441,11.24,-1.18
2023-04,Goa,Canacona,MTNL,29729,1063,5.87,3.96
2023-05,Maharashtra,Mumbai,Jio,463286,22543,36.03,1.73
2023-05,Maharashtra,Mumbai,Airtel,382793,15803,29.77,0.96
2023-05,Maharashtra,Mumbai,Vi,214991,7523,16.72,3.87
2023-05,Maharashtra,Mumbai,BSNL,148385,4086,11.54,-2.07
2023-05,Maharashtra,Mumbai,MTNL,76378,3687,5.94,2.65
